"rgb","modlu_id","modlu_name","modlu_default_map_class","modlu_barony","modlu_county","orijinal_id","orijinal_name","orijinal_default_map_class","orijinal_barony","orijinal_county","same_id","same_name","semantic_same_province_suggest","semantic_classification","final_action_suggest","rationale","auto_keep_rgb_source","auto_recolor_source","auto_requires_new_rgb","auto_final_action","auto_decision_confidence","auto_decision_notes","manual_semantic_same_province","manual_final_action","manual_notes"
"93,207,161","9867","Jericho","none","b_jericho","c_beersheb","9867","Goryeo_Donggye_Hwaju","none","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"93,48,36","9672","Stauffen","none","b_stauffen","c_vaihingen","9672","PLACEHOLDER_REGION_SOUTHEAST_COAST","impassable_mountains","","","True","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"10,195,130","10005","Linggo Co","river_provinces","","","9969","Goryeo_Tamna_WestTamna","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"10,210,5","10010","Zhuonai Lake","river_provinces","","","9974","Goryeo_Gyeongsang_Ulju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"10,27,10","10020","Longmu Co","river_provinces","","","9979","Goryeo_Gyeongsang_Andong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"10,57,15","10030","Maharloo Lake","river_provinces","","","9984","Goryeo_Gyeongsang_Sangju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"10,72,145","10035","Lake Sevan","river_provinces","","","9988","Goryeo_Gyeongsang_Geochang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,114,89","9978","Gomang Co","river_provinces","","","9953","Goryeo_Jeolla_Jeonju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,147,59","9918","Ashtarak","none","b_ashtarak","c_hayk","9913","Goryeo_Seohae_Anak","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,159,224","9993","Dawa Lake","river_provinces","","","9962","Goryeo_Jeolla_Imsil","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,162,189","9923","Tercan","none","b_derzene","c_theodosiopolis","9916","Goryeo_Seohae_Pungju","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,174,99","9998","Ang Laren","river_provinces","","","9965","Goryeo_Jeolla_Heungyang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,186,59","9718","Concordia","none","b_concordia","c_friuli","9815","Lingnan_Qinzhou_Lingshan","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,192,194","9933","Issyk-Kul","river_provinces","","","9923","Goryeo_Yanggwan_Bukju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,195,159","9863","Qula","none","b_qula","c_jaffa","9864","Goryeo_Donggye_Heupgok","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,201,189","9723","Caminate","none","b_caminate","c_casentino","9816","Lingnan_Qinzhou_Gusendong","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,207,69","9938","Ailik Lake","river_provinces","","","9926","Goryeo_Yanggwan_Wonju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,210,34","9868","TowerDavid","none","b_towerdavid","c_jerusalem","9870","Goryeo_Gyoju_Inje","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,24,74","9948","Taatsiin Tsagaan Nuur","river_provinces","","","9934","Goryeo_Yanggwan_Goeju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,27,39","9878","Kantara","none","b_kantara","c_famagusta","9881","Goryeo_Gyoju_Hoengcheon","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,75,139","9823","Madytos","none","b_madytos","c_kalliopolis","9845","Lingnan_Siming_Silingzhou","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,84,84","9968","Yamdrok Yumtso","river_provinces","","","9948","Goryeo_Yanggwan_Jukju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"135,87,49","9898","Keselo","none","b_keselo","c_tusheti","9894","Goryeo_Bukgye_Taeju","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"135,9,199","9943","Sangiin Dalai Nuur","river_provinces","","","9932","Goryeo_Yanggwan_Jecheon","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,189,129","10003","Dorsoidong Co","river_provinces","","","9967","Goryeo_Jeolla_Haeyang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,204,4","10008","Xijir Ulan Lake","river_provinces","","","9972","Goryeo_Gyeongsang_Yeju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,36,139","10023","Lumajangdong Co","river_provinces","","","9981","Goryeo_Gyeongsang_Jinju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,6,134","10013","Lexie Wudan Lake","river_provinces","","","9976","Goryeo_Gyeongsang_Cheongdo","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,66,144","10033","Lake Van","river_provinces","","","9986","Goryeo_Gyeongsang_Giju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,81,19","10038","Lake Tatta","river_provinces","","","9991","Goryeo_Gyeongsang_Ilseon","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"136,96,149","10043","Lake Polydorion","river_provinces","","","9994","Goryeo_Gyeongsang_Yeongsan","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,0,162","9869","Bethlehem","none","b_bethlehem","c_jerusalem","9872","Goryeo_Gyoju_Yanggu","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,102,87","9974","Pung Co","river_provinces","","","9950","Goryeo_Jeolla_Mokpo","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,12,72","9944","Ereen Nuur","river_provinces","","","9927","Goryeo_Yanggwan_Cheonan","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,132,92","9984","Urru Co","river_provinces","","","9957","Goryeo_Jeolla_Jindong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,135,57","9914","Mahkanaberd","none","b_mahkanaberd","c_dzoraget","9908","Goryeo_Seohae_Tosan","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,15,37","9874","Amioun","none","b_amioun","c_tripoli","9882","Goryeo_Gyoju_Hongcheon","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,150,187","9919","Amberd","none","b_amberd","c_hayk","9914","Goryeo_Seohae_Bongju","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,177,227","9999","Lagkor Co","river_provinces","","","9966","Goryeo_Jeolla_Neungseong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,180,192","9929","Hazar DeÅˆizi","river_provinces","","","9920","Goryeo_Seohae_Ongjin","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,183,157","9859","Byblos","none","b_gibeletcastle","c_gibelet","9860","Goryeo_Donggye_Ingnyeong","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,195,67","9934","Sayram Lake","river_provinces","","","9924","Goryeo_Yanggwan_Namyeong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,198,32","9864","JerLod","none","b_lydda","c_jaffa","9859","Goryeo_Donggye_Samcheok","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,21,67","9734","Aderno","none","b_aderno","c_trapani","9850","Taiwan_Miaoli","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"177,210,197","9939","Tsetseg Nuur","river_provinces","","","9930","Goryeo_Yanggwan_Pyeongchang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,27,202","9949","Khyargas Nuur","river_provinces","","","9935","Goryeo_Yanggwan_Jangyeon","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,42,77","9954","TeÅ„iz KÃ³li","river_provinces","","","9939","Goryeo_Yanggwan_Gwangju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"177,75,47","9894","Odzrakhe","none","b_odzrakhe","c_samtskhe","9890","Goryeo_Bukgye_Cheolju","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"178,192,2","10004","Pongyin Co","river_provinces","","","9968","GORYEO_TAEBAEK_MOUNTAINS","impassable_mountains","","","False","False","False","different_default_map_class","new_rgb_needed","Source default.map siniflari farkli.","modlu","orijinal","True","new_rgb_needed","medium","Navigable water tarafi korunur, impassable taraf recolor olur.","","",""
"178,207,132","10009","Hoh Xil Lake","river_provinces","","","9973","Goryeo_Gyeongsang_Gyeongju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"178,24,137","10019","Amtogor Lake","river_provinces","","","9978","Goryeo_Gyeongsang_Sunan","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"178,39,12","10024","Aru Co","river_provinces","","","9982","Goryeo_Gyeongsang_Geoje","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"178,69,17","10034","Lake ErÃ§ek","river_provinces","","","9987","Goryeo_Gyeongsang_Hamyang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"178,84,147","10039","Lake Philomelion","river_provinces","","","9992","Goryeo_Gyeongsang_Gaeryeong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"178,99,22","10044","Lake Anaua","river_provinces","","","9995","Goryeo_Gyeongsang_Chirwon","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,108,88","9976","Zigetangcuo Lake","river_provinces","","","9951","Goryeo_Jeolla_Yeonggwang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,111,53","9906","Vararakn","none","b_vararakn","c_khachen","9901","Goryeo_Bukgye_Jaju","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,114,18","9836","Yamboli","none","b_yamboli","c_kerch","9784","Lingnan_Nanning_Fu_Wuxuzhen","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,123,218","9981","Angda'er Co","river_provinces","","","9954","Goryeo_Jeolla_Jangheung","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,135,178","9701","Sirmione","none","b_sirmione","c_brescia","9803","Lingnan_Leizhou_Zhanjiang","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,138,93","9986","DagzÃª Co","river_provinces","","","9959","Goryeo_Jeolla_Mupung","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,156,188","9921","Tekor","none","b_tekor","c_ani","9910","Goryeo_Seohae_Sineun","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,171,63","9926","Tralles","none","b_tralleis","c_ionia","9919","Goryeo_Seohae_Haeju","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,18,73","9946","BÃ¶Ã¶n Tsagaan Nuur","river_provinces","","","9929","Goryeo_Yanggwan_Cheonyeong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,186,193","9931","Lake Alakol","river_provinces","","","9921","Goryeo_Seohae_Ubong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,189,158","9861","Gibelin","none","b_bethgibelin","c_hebron","9862","Goryeo_Donggye_Goseong","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,201,68","9936","Ulungur Lake","river_provinces","","","9925","Goryeo_Yanggwan_Haengju","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,48,78","9956","Katta KÃ¶l","river_provinces","","","9940","Goryeo_Yanggwan_Seorim","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,57,73","9746","Andria","none","b_andria","c_andria","9785","Lingnan_Nanning_Fu_Yongchun","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,63,208","9961","Ngoring Lake","river_provinces","","","9943","Goryeo_Yanggwan_Guseong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"51,69,138","9821","Moluag","none","b_st_moluag","c_leodhas","9843","Lingnan_Siming_Siming","none","","","False","False","False","barony_vs_nonbarony","new_rgb_needed","Bir source barony province, digeri landed_titles icinde barony olarak tanimli degil.","modlu","orijinal","True","new_rgb_needed","high","Barony province tarafi modlu; nonbarony/orijinal taraf recolor olmali.","","",""
"51,78,83","9966","Lake Aqqikkol","river_provinces","","","9946","Goryeo_Yanggwan_Dangseong","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"52,0,133","10011","Kusai Lake","river_provinces","","","9975","Goryeo_Gyeongsang_Gijang","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
"52,105,23","10046","Lake Yansli","river_provinces","","","9869","Goryeo_Donggye_Ulleung","none","","","False","False","Review","unclassified_review","needs_manual_review","Source default.map ve landed_titles tek basina net karar vermiyor.","","","","needs_manual_review","","","","",""
